,0
0,
1,công nhân
2,2983
3,cấp dưỡng
4,nhân viên bảo trì
5,công nhân ủi
6,nhân viên
7,nhân viên kinh doanh
8,công nhân may công nghiệp
9,công nhân se sợi
10,công nhân sx
11,công nhân vận hành máy may
12,công nhân vận hành thiết bị may công nghiệp
13,điều dưỡng trung học
14,nhân viên buồng
15,công nhân tổ sửa hàng khoán
16,y sĩ khoa phẩu thuật
17,nhân viên giao nhận
18,nhân viên lái xe
19,giáo viên - trường tiểu học hòa đông a
20,công nhân lắp ráp
21,kế toán
22,nv phục vụ
23,công nhân lắp ráp bình acquy
24,giáo viên
25,nhân viên sản xuất
26,vscn
27,đứng máy cán
28,nhân viên phục vụ
29,chuyên viên
30,chủ tịch ubnd p7  cán bộ tăng cường
31,cán bộ cấp 2  vùng 3  bậc 1
32,nhân viên bán hàng
33,cbkct
34,cnhân cắt vải
35,cn kiểm hàng
36,công nhân đóng gói
37,thư ký hành chánh
38,hộ sinh trung cấp
39,công nhân tổ ép cong
40,cán bộ văn phòng thống kê
41,công nhân deät 3a
42,công nhân tổ kiểm tra
43,bác sỹ
44,công nhân sản xuất
45,công nhân ép đế
46,thợ may a2-ab
47,nhân viên bán xăng dầu
48,công nhân may
49,nhân viên tư vấn tín dụng - cd
50,lao động phổ thông
51,công nhân giao hàng
52,nhân viên thu phí nhập chợ
53,nhân viên công nghệ thông tin
54,quản lý
55,công  nhân đế cs- ép đế c
56,công nhân bảo vệ kho vật liệu nổ
57,bảo vệ
58,nv kinh doanh
59,kế toán trưởng
60,công nhân sữa chửa và bảo trì máy dệt
61,kỹ sư
62,công nhân lắp ráp linh kiện điện tử
63,công nhân injection
64,công nhân gia công
65,giáo viên trường mầm non 5 phường 5
66,tài xế
67,nv tạp vụ
68,kỹ thuật viên
69,cn phụ chuyền- may công nghiệp
70,nhân viên kỹ thuật
71,vận hành máy cuốn điếu  đóng bao thuốc lá
72,nhân viên  bảo vệ
73,giao dịch viên
74,công nhân mộc máy tại bảo minh
75,cụng nhõn ki?m hàng
76,kế toán tại bình chánh (tp.hcm)
77,nv kcs
78,cn may
79,công nhân phụ thêu
80,cnv
81,công nhân sản xuất cọc ống bê tông ly tâm
82,nhân viên kiểm phẩm
83,cn
84,nhõn viờn kinh doanh
85,nv lái xe
86,công nhân trải vải
87,may công nghiệp
88,giáo viên thcs
89,công nhân may túi xách
90,công nhân may cn
91,nhân viên thao tác
92,nhân viên phòng thí nghiệm
93,phó giám đốc xí nghiệp
94,công nhân hàn
95,phó chủ tịch hội cựu chiến binh xã
96,sale assistant
97,nhân viên p.nhân sự
98,thợ may
99,công nhân viên
100,công nhân đường dây
101,nhân viên nấu ăn
102,công nhân kiểm tra chất lượng
103,công nhân ép keo
104,c.nhân bán lẻ xd b1/6
105,lái xe
106,nhân viên băng tải
107,kiểm giày
108,giáo viên  tổ trưởng tổ 4+5 trường tiểu học tân hòa thành a
109,công nhân sửa chữa
110,nhân viên đứng máy đánh ống
111,nhân viên phụ bếp
112,công nhân bp đánh bóng
113,công nhân dệt
114,giáo viên trường th điềm hy
115,nhân viên bopp
116,undefined
117,công nhân chế biến hải sản
118,công nhân thợ phụ
119,kỹ thuật viên trung cấp
120,công nhân sushi
121,công nhân nông phom
122,cán bộ thiết bị thí nghiệm
123,công nhân vận hành máy dệt
124,phụ cắt
125,công nhân  phụ việc
126,bí thư đảng uỷ
127,nhân viên thiết kế
128,công nhân hình thành
129,kỹ thuật viên b3
130,công nhân hoàn tất
131,công nhân chuyền lắp ráp 2
132,nhân viên kiểm lỗi
133,công nhân phụ việc cắt chỉ
134,phục vụ
135,giáo viên trường th bùi thị xuân
136,công nhân nm sợi 2
137,c.n
138,công nhân cơ khí
139,công nhân xếp khuôn
140,phó phòng kd
141,công nhân  ktcl chip 1
142,công nhân sản xuất phân
143,địa chính - xây dựng
144,nv kỹ thuật swap-ninh kiều  cần thơ
145,nv văn phòng
146,công nhân vận hành máy mya công nghiệp
147,nhân viên - v04 - tỉnh bình thuận
148,nhân viên - v02 - tỉnh bà rịa - vũng tàu
149,điều dưỡng
150,nhân viên phòng khảo sát đo đạc
151,công nhân đồng bộ bán thành phẩm
152,công nhân ql đường dây và tba < 35 kv điện lực phù ninh
153,cn may 23
